index,lon,lat
86461,-149.75,29.75
86462,-149.25,29.75
86463,-148.75,29.75
86464,-148.25,29.75
86465,-147.75,29.75
86466,-147.25,29.75
86467,-146.75,29.75
86468,-146.25,29.75
86469,-145.75,29.75
86470,-145.25,29.75
86471,-144.75,29.75
86472,-144.25,29.75
86473,-143.75,29.75
86474,-143.25,29.75
86475,-142.75,29.75
86476,-142.25,29.75
86477,-141.75,29.75
86478,-141.25,29.75
86479,-140.75,29.75
86480,-140.25,29.75
86481,-139.75,29.75
86482,-139.25,29.75
86483,-138.75,29.75
86484,-138.25,29.75
86485,-137.75,29.75
86486,-137.25,29.75
86487,-136.75,29.75
86488,-136.25,29.75
86489,-135.75,29.75
86490,-135.25,29.75
86491,-134.75,29.75
86492,-134.25,29.75
86493,-133.75,29.75
86494,-133.25,29.75
86495,-132.75,29.75
86496,-132.25,29.75
86497,-131.75,29.75
86498,-131.25,29.75
86499,-130.75,29.75
86500,-130.25,29.75
86501,-129.75,29.75
86502,-129.25,29.75
86503,-128.75,29.75
86504,-128.25,29.75
86505,-127.75,29.75
86506,-127.25,29.75
86507,-126.75,29.75
86508,-126.25,29.75
86509,-125.75,29.75
86510,-125.25,29.75
86511,-124.75,29.75
86512,-124.25,29.75
86513,-123.75,29.75
86514,-123.25,29.75
86515,-122.75,29.75
86516,-122.25,29.75
86517,-121.75,29.75
86518,-121.25,29.75
86519,-120.75,29.75
86520,-120.25,29.75
86521,-119.75,29.75
86522,-119.25,29.75
86523,-118.75,29.75
86524,-118.25,29.75
86525,-117.75,29.75
86526,-117.25,29.75
86527,-116.75,29.75
86528,-116.25,29.75
86529,-115.75,29.75
86530,-115.25,29.75
86531,-114.75,29.75
86532,-114.25,29.75
86533,-113.75,29.75
86534,-113.25,29.75
86535,-112.75,29.75
86536,-112.25,29.75
86537,-111.75,29.75
86538,-111.25,29.75
86539,-110.75,29.75
86540,-110.25,29.75
86541,-109.75,29.75
86542,-109.25,29.75
86543,-108.75,29.75
86544,-108.25,29.75
86545,-107.75,29.75
86546,-107.25,29.75
